City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,whitehorse,60.7161,-135.0538,-8.28,96,100,2.49,CA,1668135653
339,berekum,7.4534,-2.584,21.33,93,84,1.65,GH,1668135716
340,basco,20.4487,121.9702,26.98,85,7,6.76,PH,1668135716
341,beringovskiy,63.05,179.3167,-11.2,76,2,2.37,RU,1668135717
342,acatlan,20.15,-98.45,12.85,75,0,1.26,MX,1668135717
343,mihijam,23.8526,86.8788,22.42,46,0,2.16,IN,1668135718
344,tromso,69.6496,18.957,-1.46,86,75,1.03,NO,1668135718
345,pangnirtung,66.1451,-65.7125,-21.11,92,74,1.9,CA,1668135719
346,nishihara,26.1842,127.7558,26.6,74,75,8.75,JP,1668135719
347,kommunar,59.6206,30.39,9.13,93,100,4.29,RU,1668135719
348,itupiranga,-5.1347,-49.3267,24.31,71,59,0.79,BR,1668135720
349,cibitoke,-2.8833,29.25,16.65,89,100,1.02,BI,1668135721
350,senno,59.5336,33.9167,7.92,96,100,2.78,RU,1668135721
351,presidencia roque saenz pena,-26.7852,-60.4388,17.98,93,0,3.04,AR,1668135722
352,rawlins,41.7911,-107.2387,-6.06,79,100,6.17,US,1668135723
353,tommot,58.9564,126.2925,-5.91,87,97,4.54,RU,1668135724
354,petropavlovskoye,52.0712,84.107,-0.15,72,100,4.32,RU,1668135725
355,lata,40.1629,-8.3327,10.04,88,27,1.93,PT,1668135726
356,merritt,50.1123,-120.7942,-9.35,99,97,0.44,CA,1668135648
357,tramandai,-29.9847,-50.1336,18.26,89,100,4.21,BR,1668135726
358,la quinta,33.6634,-116.31,18.58,37,0,2.06,US,1668135727
359,terrace bay,48.7834,-87.1,-2.22,85,100,12.57,CA,1668135616
360,vung tau,10.346,107.0843,28.25,73,95,1.53,VN,1668135728
361,raton,36.9034,-104.4391,5.19,48,100,0.0,US,1668135728
362,darnah,32.767,22.6367,18.26,63,0,2.19,LY,1668135729
